Country,City,customer_count
Afghanistan,Riverstown,2
Afghanistan,Adrianamouth,1
Afghanistan,Alecborough,1
Afghanistan,Alejandraville,1
Afghanistan,Allenport,1
Afghanistan,Alyssachester,1
Afghanistan,Andrewchester,1
Afghanistan,Annettemouth,1
Afghanistan,Aprilfort,1
Afghanistan,Arthurport,1
Afghanistan,Autumnshire,1
Afghanistan,Ayalaland,1
Afghanistan,Baldwinfurt,1
Afghanistan,Barnesville,1
Afghanistan,Bartlettstad,1
Afghanistan,Belindashire,1
Afghanistan,Beltranstad,1
Afghanistan,Benitezchester,1
Afghanistan,Biancaberg,1
Afghanistan,Billton,1
Afghanistan,Blairville,1
Afghanistan,Boyerland,1
Afghanistan,Bradfordville,1
Afghanistan,Bradleyton,1
Afghanistan,Bradshawfurt,1
Afghanistan,Bradyside,1
Afghanistan,Brandonfurt,1
Afghanistan,Buckleychester,1
Afghanistan,Burnettville,1
Afghanistan,Byrdtown,1
Afghanistan,Camposchester,1
Afghanistan,Cantuview,1
Afghanistan,Carlburgh,1
Afghanistan,Carlmouth,1
Afghanistan,Cassieberg,1
Afghanistan,Chelseaburgh,1
Afghanistan,Chelseybury,1
Afghanistan,Cheyennechester,1
Afghanistan,Christensenborough,1
Afghanistan,Claireport,1
Afghanistan,Clarenceport,1
Afghanistan,Cochranburgh,1
Afghanistan,Cohenhaven,1
Afghanistan,Colinfort,1
Afghanistan,Colleenside,1
Afghanistan,Colonborough,1
Afghanistan,Connorview,1
Afghanistan,Contrerasfort,1
Afghanistan,Cooperfort,1
Afghanistan,Courtneystad,1
Afghanistan,Crosbyview,1
Afghanistan,Crystaltown,1
Afghanistan,Danport,1
Afghanistan,Darrenstad,1
Afghanistan,Davidtown,1
Afghanistan,Dawsonville,1
Afghanistan,Deckerstad,1
Afghanistan,Dennisland,1
Afghanistan,Dennistown,1
Afghanistan,Derrickville,1
Afghanistan,Dianechester,1
Afghanistan,Donaldsonmouth,1
Afghanistan,Donnachester,1
Afghanistan,Douglasstad,1
Afghanistan,Drewton,1
Afghanistan,Dyerstad,1
Afghanistan,East Allenfort,1
Afghanistan,East Anamouth,1
Afghanistan,East Andrewfort,1
Afghanistan,East Bethany,1
Afghanistan,East Bianca,1
Afghanistan,East Brittany,1
Afghanistan,East Brittneyberg,1
Afghanistan,East Courtney,1
Afghanistan,East Damonfurt,1
Afghanistan,East Elijah,1
Afghanistan,East Erin,1
Afghanistan,East Gloria,1
Afghanistan,East Grantberg,1
Afghanistan,East Heather,1
Afghanistan,East Isabellastad,1
Afghanistan,East Jadeview,1
Afghanistan,East Jennyland,1
Afghanistan,East Jodi,1
Afghanistan,East Katrina,1
Afghanistan,East Larry,1
Afghanistan,East Melvin,1
Afghanistan,East Monicatown,1
Afghanistan,East Norma,1
Afghanistan,East Rayport,1
Afghanistan,East Rileymouth,1
Afghanistan,East Ruth,1
Afghanistan,East Spencer,1
Afghanistan,East Stefanie,1
Afghanistan,East Toddside,1
Afghanistan,East Tomfort,1
Afghanistan,East Vanessa,1
Afghanistan,East Veronica,1
Afghanistan,East Wesleyton,1
Afghanistan,East Yvette,1
Afghanistan,East Zachary,1
Afghanistan,Escobarville,1
Afghanistan,Esparzahaven,1
Afghanistan,Eugenestad,1
Afghanistan,Evanbury,1
Afghanistan,Forbesburgh,1
Afghanistan,Frostport,1
Afghanistan,Gabrielashire,1
Afghanistan,Gabriellaton,1
Afghanistan,Garciaport,1
Afghanistan,Garretthaven,1
Afghanistan,Gentrymouth,1
Afghanistan,Geraldshire,1
Afghanistan,Gilbertshire,1
Afghanistan,Gomezborough,1
Afghanistan,Gomezside,1
Afghanistan,Gonzalezmouth,1
Afghanistan,Gordonport,1
Afghanistan,Gouldport,1
Afghanistan,Greenemouth,1
Afghanistan,Greenestad,1
Afghanistan,Grimesside,1
Afghanistan,Grossport,1
Afghanistan,Guerraport,1
Afghanistan,Haileyshire,1
Afghanistan,Haneyfort,1
Afghanistan,Harperburgh,1
Afghanistan,Harrellshire,1
Afghanistan,Harrisonfurt,1
Afghanistan,Hatfieldchester,1
Afghanistan,Haynesport,1
Afghanistan,Henryburgh,1
Afghanistan,Henryview,1
Afghanistan,Hobbsburgh,1
Afghanistan,Holderberg,1
Afghanistan,Houstonberg,1
Afghanistan,Howardburgh,1
Afghanistan,Huertaberg,1
Afghanistan,Jackmouth,1
Afghanistan,Jacobsonland,1
Afghanistan,Janeshire,1
Afghanistan,Jeanneton,1
Afghanistan,Jeffreybury,1
Afghanistan,Jensenshire,1
Afghanistan,Jessicaport,1
Afghanistan,Jessicaside,1
Afghanistan,Jillianfurt,1
Afghanistan,Joannatown,1
Afghanistan,Jodimouth,1
Afghanistan,Jodyfurt,1
Afghanistan,Johnathanview,1
Afghanistan,Johnsbury,1
Afghanistan,Jonathonhaven,1
Afghanistan,Judithfort,1
Afghanistan,Karenton,1
Afghanistan,Katelynview,1
Afghanistan,Kathleenburgh,1
Afghanistan,Kayleehaven,1
Afghanistan,Kayleeville,1
Afghanistan,Kiaramouth,1
Afghanistan,Kristahaven,1
Afghanistan,Kruegerport,1
Afghanistan,Lake Alexandra,1
Afghanistan,Lake Amber,1
Afghanistan,Lake Audreymouth,1
Afghanistan,Lake Becky,1
Afghanistan,Lake Bill,1
Afghanistan,Lake Bonnietown,1
Afghanistan,Lake Brandon,1
Afghanistan,Lake Clarenceport,1
Afghanistan,Lake Darrenberg,1
Afghanistan,Lake Edwintown,1
Afghanistan,Lake Emma,1
Afghanistan,Lake Hannahview,1
Afghanistan,Lake Hayley,1
Afghanistan,Lake Joburgh,1
Afghanistan,Lake Jorgeport,1
Afghanistan,Lake Kendra,1
Afghanistan,Lake Madisonhaven,1
Afghanistan,Lake Natalieport,1
Afghanistan,Lake Rhondatown,1
Afghanistan,Lake Sierramouth,1
Afghanistan,Lake Veronicahaven,1
Afghanistan,Lake Whitney,1
Afghanistan,Lanceport,1
Afghanistan,Larsenchester,1
Afghanistan,Leachhaven,1
Afghanistan,Leonardland,1
Afghanistan,Leonardmouth,1
Afghanistan,Loganbury,1
Afghanistan,Lopezburgh,1
Afghanistan,Luisstad,1
Afghanistan,Lutzport,1
Afghanistan,Maciashaven,1
Afghanistan,Manuelburgh,1
Afghanistan,Mariefort,1
Afghanistan,Mathewfurt,1
Afghanistan,Melanieport,1
Afghanistan,Mercerborough,1
Afghanistan,Merrittshire,1
Afghanistan,Meyerborough,1
Afghanistan,Mistyhaven,1
Afghanistan,Mitchellmouth,1
Afghanistan,Morenomouth,1
Afghanistan,Morrisfurt,1
Afghanistan,Murilloport,1
Afghanistan,Murrayshire,1
Afghanistan,New Aimee,1
Afghanistan,New Andrealand,1
Afghanistan,New Angie,1
Afghanistan,New Betty,1
Afghanistan,New Candicemouth,1
Afghanistan,New Chelsea,1
Afghanistan,New Colleenstad,1
Afghanistan,New Dorothy,1
Afghanistan,New Ericaburgh,1
Afghanistan,New Jenniferborough,1
Afghanistan,New Jeromeside,1
Afghanistan,New Jody,1
Afghanistan,New Kerri,1
Afghanistan,New Lance,1
Afghanistan,New Lindaland,1
Afghanistan,New Mackenzieport,1
Afghanistan,New Marcomouth,1
Afghanistan,New Miafort,1
Afghanistan,New Michellefort,1
Afghanistan,New Patricia,1
Afghanistan,New Perryshire,1
Afghanistan,New Roger,1
Afghanistan,New Suzanneland,1
Afghanistan,New Tony,1
Afghanistan,New Vernonburgh,1
Afghanistan,New Xavierfurt,1
Afghanistan,Nicholsshire,1
Afghanistan,Ninaberg,1
Afghanistan,Nixonberg,1
Afghanistan,Normamouth,1
Afghanistan,North Andresmouth,1
Afghanistan,North Anita,1
Afghanistan,North Anthonyfort,1
Afghanistan,North Arthur,1
Afghanistan,North Bobmouth,1
Afghanistan,North Brentland,1
Afghanistan,North Clinton,1
Afghanistan,North Darryl,1
Afghanistan,North Deanberg,1
Afghanistan,North Diana,1
Afghanistan,North Douglas,1
Afghanistan,North Emma,1
Afghanistan,North Eugene,1
Afghanistan,North Jimburgh,1
Afghanistan,North Judyton,1
Afghanistan,North Kiaramouth,1
Afghanistan,North Martin,1
Afghanistan,North Nicholas,1
Afghanistan,North Patricialand,1
Afghanistan,North Ralphmouth,1
Afghanistan,North Randallmouth,1
Afghanistan,North Rayburgh,1
Afghanistan,North Sergioland,1
Afghanistan,North Sheenaside,1
Afghanistan,North Sherriside,1
Afghanistan,North Soniaview,1
Afghanistan,North Susanburgh,1
Afghanistan,North Theodoreport,1
Afghanistan,North Yeseniabury,1
Afghanistan,Odonnelltown,1
Afghanistan,Osbornville,1
Afghanistan,Oscarhaven,1
Afghanistan,Parkberg,1
Afghanistan,Paulshire,1
Afghanistan,Paynetown,1
Afghanistan,Pedroville,1
Afghanistan,Perezchester,1
Afghanistan,Phillipsbury,1
Afghanistan,Phillipstown,1
Afghanistan,Pinedaton,1
Afghanistan,Pittsborough,1
Afghanistan,Port Anthony,1
Afghanistan,Port Bailey,1
Afghanistan,Port Bethany,1
Afghanistan,Port Carlosview,1
Afghanistan,Port Charlotteland,1
Afghanistan,Port Dannyview,1
Afghanistan,Port Derrick,1
Afghanistan,Port Isabel,1
Afghanistan,Port Jared,1
Afghanistan,Port Jim,1
Afghanistan,Port Joann,1
Afghanistan,Port Jody,1
Afghanistan,Port Jorge,1
Afghanistan,Port Justinview,1
Afghanistan,Port Kelli,1
Afghanistan,Port Kent,1
Afghanistan,Port Kerri,1
Afghanistan,Port Madison,1
Afghanistan,Port Marco,1
Afghanistan,Port Mariah,1
Afghanistan,Port Molly,1
Afghanistan,Port Nicolasberg,1
Afghanistan,Port Paula,1
Afghanistan,Port Rachael,1
Afghanistan,Port Randall,1
Afghanistan,Port Rickey,1
Afghanistan,Port Rickeyside,1
Afghanistan,Port Ryan,1
Afghanistan,Port Sergioborough,1
Afghanistan,Port Teresa,1
Afghanistan,Port Tonya,1
Afghanistan,Ramseyhaven,1
Afghanistan,Randallchester,1
Afghanistan,Rebekahberg,1
Afghanistan,Reynoldsland,1
Afghanistan,Rhondaport,1
Afghanistan,Richmondville,1
Afghanistan,Robinsonchester,1
Afghanistan,Robyntown,1
Afghanistan,Rosariofurt,1
Afghanistan,Rosschester,1
Afghanistan,Russellmouth,1
Afghanistan,Sampsonfort,1
Afghanistan,Sanfordmouth,1
Afghanistan,Sergiomouth,1
Afghanistan,Sergiostad,1
Afghanistan,Sheahaven,1
Afghanistan,Sheliabury,1
Afghanistan,Simmonsview,1
Afghanistan,Sloanburgh,1
Afghanistan,Smallland,1
Afghanistan,Snydershire,1
Afghanistan,Sonyamouth,1
Afghanistan,Sophiabury,1
Afghanistan,Sophialand,1
Afghanistan,Sotomouth,1
Afghanistan,Sototown,1
Afghanistan,South Albertmouth,1
Afghanistan,South Audrey,1
Afghanistan,South Baileyshire,1
Afghanistan,South Cameron,1
Afghanistan,South Carla,1
Afghanistan,South Carmenmouth,1
Afghanistan,South Cliffordport,1
Afghanistan,South Denisefurt,1
Afghanistan,South Donport,1
Afghanistan,South Eduardomouth,1
Afghanistan,South Elijahberg,1
Afghanistan,South Faith,1
Afghanistan,South Haroldport,1
Afghanistan,South Jocelyn,1
Afghanistan,South Josefurt,1
Afghanistan,South Juan,1
Afghanistan,South Kaitlynfort,1
Afghanistan,South Keith,1
Afghanistan,South Levi,1
Afghanistan,South Melinda,1
Afghanistan,South Michealmouth,1
Afghanistan,South Paulstad,1
Afghanistan,South Perryton,1
Afghanistan,South Roger,1
Afghanistan,South Rogermouth,1
Afghanistan,Staceyview,1
Afghanistan,Staffordburgh,1
Afghanistan,Stoutstad,1
Afghanistan,Teresafort,1
Afghanistan,Terrencetown,1
Afghanistan,Theresaside,1
Afghanistan,Theresaton,1
Afghanistan,Timfort,1
Afghanistan,Tracytown,1
Afghanistan,Trevorshire,1
Afghanistan,Vazquezshire,1
Afghanistan,Victorfort,1
Afghanistan,Villanuevaton,1
Afghanistan,Vincentberg,1
Afghanistan,Wagnerstad,1
Afghanistan,Walterchester,1
Afghanistan,Walterfort,1
Afghanistan,Warrenshire,1
Afghanistan,Wellschester,1
Afghanistan,West Amymouth,1
Afghanistan,West Angelstad,1
Afghanistan,West Arthurport,1
Afghanistan,West Brandymouth,1
Afghanistan,West Clifford,1
Afghanistan,West Cole,1
Afghanistan,West Emilyhaven,1
Afghanistan,West Felicia,1
Afghanistan,West Garyview,1
Afghanistan,West Harold,1
Afghanistan,West Helen,1
Afghanistan,West Herbert,1
Afghanistan,West Ivan,1
Afghanistan,West Jasminport,1
Afghanistan,West Jesse,1
Afghanistan,West Johnnyborough,1
Afghanistan,West Kari,1
Afghanistan,West Kristamouth,1
Afghanistan,West Mandyshire,1
Afghanistan,West Monicaburgh,1
Afghanistan,West Moniqueton,1
Afghanistan,West Nicholasmouth,1
Afghanistan,West Peterton,1
Afghanistan,West Reginald,1
Afghanistan,West Seth,1
Afghanistan,West Spencerborough,1
Afghanistan,West Stephen,1
Afghanistan,West Tami,1
Afghanistan,West Taylor,1
Afghanistan,West Tonymouth,1
Afghanistan,Wigginsland,1
Afghanistan,Wileytown,1
Afghanistan,Woodland,1
Afghanistan,Yangton,1
Afghanistan,Yatesland,1
Afghanistan,Yatesshire,1
Afghanistan,Yvetteborough,1
Albania,South Wayne,2
Albania,Weavertown,2
Albania,Acevedotown,1
Albania,Alechaven,1
Albania,Anahaven,1
Albania,Antonioton,1
Albania,Aprilport,1
Albania,Arianastad,1
Albania,Averyfurt,1
Albania,Avilafurt,1
Albania,Baileyville,1
Albania,Barreraport,1
Albania,Bartonborough,1
Albania,Basston,1
Albania,Bergermouth,1
Albania,Berryshire,1
Albania,Biancaside,1
Albania,Bishopport,1
Albania,Blanchardborough,1
Albania,Blevinsview,1
Albania,Bradymouth,1
Albania,Brandonbury,1
Albania,Brentview,1
Albania,Brewerland,1
Albania,Brianamouth,1
Albania,Brianchester,1
Albania,Burnstown,1
Albania,Cabrerashire,1
Albania,Camposbury,1
Albania,Carlyborough,1
Albania,Carmenhaven,1
Albania,Caseyborough,1
Albania,Cassandramouth,1
Albania,Cassidyhaven,1
Albania,Castilloland,1
Albania,Chelseytown,1
Albania,Chenport,1
